id, url
142, https://cdn.bulbagarden.net/upload/e/e8/142Aerodactyl.png
130, https://cdn.bulbagarden.net/upload/4/41/130Gyarados.png
141, https://cdn.bulbagarden.net/upload/2/29/141Kabutops.png
120, https://cdn.bulbagarden.net/upload/4/4f/120Staryu.png
126, https://cdn.bulbagarden.net/upload/thumb/8/8c/126Magmar.png/600px-126Magmar.png
150, https://cdn.bulbagarden.net/upload/thumb/7/78/150Mewtwo.png/600px-150Mewtwo.png
139, https://cdn.bulbagarden.net/upload/4/43/139Omastar.png
133, https://cdn.bulbagarden.net/upload/thumb/e/e2/133Eevee.png/600px-133Eevee.png
128, https://cdn.bulbagarden.net/upload/b/b8/128Tauros.png
147, https://cdn.bulbagarden.net/upload/c/cc/147Dratini.png
115, https://cdn.bulbagarden.net/upload/4/4e/115Kangaskhan.png
124, https://cdn.bulbagarden.net/upload/7/7c/124Jynx.png
135, https://cdn.bulbagarden.net/upload/thumb/b/bb/135Jolteon.png/600px-135Jolteon.png
145, https://cdn.bulbagarden.net/upload/thumb/e/e3/145Zapdos.png/600px-145Zapdos.png
131, https://cdn.bulbagarden.net/upload/thumb/a/ab/131Lapras.png/600px-131Lapras.png
118, https://cdn.bulbagarden.net/upload/7/7b/118Goldeen.png
